address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
522 W 29th St # 3D,New York,NY,10001,6995000,2352,3,4.0,296,Condo For Sale,"http://www.zillow.com/homes/for_sale/2105595160_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
522 W 29th St # 10B,New York,NY,10001,15100000,2708,3,4.0,296,Condo For Sale,"http://www.zillow.com/homes/for_sale/2106456199_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
522 W 29th St # 5A,New York,NY,10001,10875000,3586,5,5.0,296,Condo For Sale,"http://www.zillow.com/homes/for_sale/2106481374_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
252 W 30th St Apt 5A,New York,NY,10001,2395000,1600,3,2.0,320,Condo For Sale,"http://www.zillow.com/homes/for_sale/31503362_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
520 W 28th St # 4,New York,NY,10001,7250000,2632,3,4.0,435,Condo For Sale,"http://www.zillow.com/homes/for_sale/2100705268_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
520 W 28th St # 23,New York,NY,10001,12000000,3840,4,5.0,436,Condo For Sale,"http://www.zillow.com/homes/for_sale/2100706915_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
520 W 28th St # 34,New York,NY,10001,16000000,4023,4,5.0,436,Condo For Sale,"http://www.zillow.com/homes/for_sale/2100711260_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
15 Hudson Yards # PH84A,New York,NY,10001,13845000,3385,4,5.0,79,Condo For Sale,"http://www.zillow.com/homes/for_sale/2096642840_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
252 7th Ave Apt 5Q,New York,NY,10001,2475000,1541,1,2.0,2,Condo For Sale,"http://www.zillow.com/homes/for_sale/55501414_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
50 W 30th St # PH2,New York,NY,10001,6750000,2190,3,4.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095806831_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
50 W 30th St # 14A,New York,NY,10001,2820000,1330,2,2.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095806832_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
410 W 25th St Apt 4B,New York,NY,10001,735000,650,1,2.0,4,Co-op For Sale,"http://www.zillow.com/homes/for_sale/79495645_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
